1777593600000,615.38000000,616.80000000,615.28000000,615.57000000,2894.36500000,1777597199999,1783319.20613000,17976,1354.28300000,834433.70068000,0
1777597200000,615.57000000,617.54000000,615.50000000,617.51000000,1918.18900000,1777600799999,1182685.41414000,12735,953.18800000,587762.32760000,0
1777600800000,617.51000000,617.54000000,616.50000000,617.18000000,3678.68100000,1777604399999,2269703.64456000,13809,1624.32300000,1002169.71764000,0
1777604400000,617.18000000,621.29000000,616.90000000,618.50000000,5867.57000000,1777607999999,3633866.63287000,34084,2900.75200000,1797134.01017000,0
1777608000000,618.50000000,619.08000000,616.99000000,617.10000000,3437.91000000,1777611599999,2124208.64919000,20517,1326.57800000,819575.97827000,0
1777611600000,617.11000000,618.29000000,616.99000000,617.90000000,1881.06800000,1777615199999,1162062.35895000,13419,823.30600000,508604.35964000,0
1777615200000,617.90000000,618.37000000,616.03000000,616.66000000,2140.45500000,1777618799999,1321835.57960000,18140,1085.94200000,670742.15528000,0
1777618800000,616.67000000,617.61000000,616.13000000,617.42000000,2934.67700000,1777622399999,1810535.76515000,15604,1457.48300000,899202.99255000,0
1777622400000,617.42000000,619.56000000,617.13000000,618.67000000,2320.24200000,1777625999999,1434738.13981000,17211,1108.41000000,685424.63390000,0
1777626000000,618.66000000,618.70000000,616.44000000,616.87000000,2813.90000000,1777629599999,1737439.81583000,16748,1037.80700000,640721.70710000,0
1777629600000,616.87000000,617.41000000,615.94000000,617.40000000,4370.99900000,1777633199999,2695782.44509000,19924,2143.74000000,1322127.46252000,0
1777633200000,617.41000000,619.00000000,617.41000000,618.92000000,3728.48300000,1777636799999,2305299.43953000,16519,1618.25200000,1000546.78416000,0
1777636800000,618.92000000,620.84000000,618.44000000,619.14000000,7659.51800000,1777640399999,4746330.19606000,36764,3503.03700000,2170874.99679000,0
1777640400000,619.14000000,622.84000000,619.14000000,622.48000000,7664.28300000,1777643999999,4762003.25107000,45711,3639.23400000,2260870.75069000,0
1777644000000,622.47000000,622.82000000,619.56000000,620.70000000,5312.87000000,1777647599999,3301834.31203000,33499,1806.76600000,1122839.48215000,0
1777647600000,620.71000000,622.62000000,619.74000000,620.83000000,4811.64700000,1777651199999,2989218.28621000,26064,1945.71200000,1208792.23316000,0
1777651200000,620.83000000,621.79000000,619.35000000,619.55000000,3583.01300000,1777654799999,2222383.76329000,25058,1457.40800000,903982.83177000,0
1777654800000,619.55000000,620.50000000,618.98000000,620.36000000,2074.05600000,1777658399999,1285403.36749000,15781,949.78800000,588646.35847000,0
1777658400000,620.36000000,620.78000000,619.00000000,619.26000000,1754.88600000,1777661999999,1088196.72800000,14325,684.86000000,424747.29013000,0
1777662000000,619.26000000,620.38000000,618.90000000,619.24000000,1465.18800000,1777665599999,907908.20166000,13257,555.91700000,344462.79091000,0
1777665600000,619.24000000,619.37000000,616.40000000,616.94000000,3082.45000000,1777669199999,1905471.49371000,13832,1338.73300000,828017.89711000,0
1777669200000,616.94000000,617.69000000,616.73000000,617.32000000,1848.35900000,1777672799999,1140941.66875000,17670,754.90000000,465983.59744000,0
1777672800000,617.33000000,617.88000000,614.94000000,615.13000000,7672.39700000,1777676399999,4724556.50287000,18614,4161.00400000,2561183.11866000,0
1777676400000,615.12000000,615.66000000,613.79000000,615.34000000,3138.53400000,1777679999999,1929756.72451000,12355,902.07700000,554807.77091000,0
1777680000000,615.34000000,616.13000000,614.78000000,615.86000000,2589.41200000,1777683599999,1593380.85270000,16399,1279.53000000,787309.92350000,0
1777683600000,615.86000000,616.58000000,615.59000000,615.81000000,1561.13200000,1777687199999,961778.34279000,12098,787.29900000,485055.97150000,0
1777687200000,615.82000000,617.26000000,615.61000000,616.11000000,1684.15600000,1777690799999,1037807.04116000,11947,694.84500000,428194.05827000,0
1777690800000,616.11000000,616.87000000,615.40000000,616.19000000,1766.26000000,1777694399999,1088256.59147000,10631,821.20700000,505984.22695000,0
1777694400000,616.19000000,616.22000000,614.48000000,615.01000000,3363.20100000,1777697999999,2069122.90770000,13660,995.06700000,612115.16392000,0
1777698000000,615.01000000,615.67000000,614.15000000,615.21000000,1700.76300000,1777701599999,1046125.96787000,12825,839.41400000,516318.32856000,0
1777701600000,615.21000000,616.30000000,614.86000000,616.21000000,1376.90800000,1777705199999,847555.73646000,10522,568.16500000,349746.89019000,0
1777705200000,616.21000000,616.40000000,615.25000000,615.91000000,1312.02300000,1777708799999,807958.68364000,8083,560.13800000,344930.54009000,0
1777708800000,615.90000000,616.20000000,615.24000000,615.73000000,2066.39000000,1777712399999,1272520.92190000,10329,925.96400000,570226.15139000,0
1777712400000,615.74000000,615.93000000,615.22000000,615.64000000,1543.40100000,1777715999999,950119.64428000,9204,701.65300000,431939.02746000,0
1777716000000,615.63000000,615.86000000,615.16000000,615.76000000,1436.75200000,1777719599999,884302.96936000,7537,698.48700000,429929.26706000,0
1777719600000,615.76000000,615.76000000,614.71000000,615.66000000,1613.30700000,1777723199999,992630.77787000,10020,781.68400000,480949.21587000,0
1777723200000,615.67000000,616.45000000,615.38000000,615.89000000,2966.67400000,1777726799999,1827145.65006000,12667,1464.99500000,902287.11341000,0
1777726800000,615.89000000,617.19000000,615.89000000,617.18000000,2842.74300000,1777730399999,1753066.26808000,12773,1414.72100000,872443.41688000,0
1777730400000,617.18000000,617.62000000,616.65000000,616.77000000,3751.83900000,1777733999999,2315013.96320000,15059,1816.44500000,1120824.33380000,0
1777734000000,616.77000000,618.27000000,616.69000000,618.22000000,2639.99200000,1777737599999,1630566.06231000,14505,1432.37500000,884710.95539000,0
1777737600000,618.22000000,619.38000000,617.73000000,618.63000000,3447.53300000,1777741199999,2132008.28830000,16407,1568.55200000,969930.44356000,0
1777741200000,618.63000000,618.89000000,618.02000000,618.33000000,2070.72400000,1777744799999,1280577.32226000,11644,1053.21600000,651350.41824000,0
1777744800000,618.32000000,619.21000000,617.71000000,618.63000000,1678.53900000,1777748399999,1038184.81450000,10314,810.31400000,501171.52854000,0
1777748400000,618.63000000,618.97000000,618.23000000,618.83000000,1378.04400000,1777751999999,852436.99797000,10311,598.15400000,370006.26927000,0
1777752000000,618.84000000,618.85000000,618.26000000,618.56000000,1506.93300000,1777755599999,932200.11990000,9279,638.49400000,394969.28650000,0
1777755600000,618.57000000,621.81000000,618.56000000,619.57000000,3686.95800000,1777759199999,2285141.74374000,27374,2182.45800000,1352844.82565000,0
1777759200000,619.57000000,619.88000000,618.34000000,619.72000000,1730.13100000,1777762799999,1071021.98452000,15017,742.97500000,459914.64237000,0
1777762800000,619.71000000,619.71000000,617.77000000,618.03000000,2260.17900000,1777766399999,1397632.36714000,12492,778.57800000,481419.90015000,0
1777766400000,618.03000000,618.49000000,617.00000000,617.70000000,2163.22200000,1777769999999,1336309.24457000,15070,1105.60800000,683010.97614000,0
1777770000000,617.70000000,617.77000000,615.55000000,616.02000000,2674.02400000,1777773599999,1647947.18229000,13942,1173.50300000,723193.51601000,0
